yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.02 (214) 11:00:11    4.4   215.0   239.0
2017.08.02 (214) 11:04:59    4.4   218.0   247.0
2017.08.02 (214) 11:10:23    4.5   218.0   242.0
2017.08.02 (214) 11:15:11  NaN     215.0   NaN  
2017.08.02 (214) 11:19:59  NaN     NaN     NaN  
2017.08.02 (214) 11:25:23    4.9   212.0   262.0
2017.08.02 (214) 11:30:11    4.8   210.0   259.0
2017.08.02 (214) 11:34:59    4.9   209.0   260.0
2017.08.02 (214) 11:40:23    5.0   212.0   254.0
2017.08.02 (214) 11:45:11    4.7   212.0   250.0
2017.08.02 (214) 11:49:59    4.6   212.0   241.0
2017.08.02 (214) 11:55:23  NaN     NaN     NaN  
2017.08.02 (214) 12:00:11    4.9   212.0   286.0
2017.08.02 (214) 12:04:59    4.9   207.0   271.0
2017.08.02 (214) 12:10:23    4.8   213.0   280.0
2017.08.02 (214) 12:15:11    4.9   212.0   277.0
2017.08.02 (214) 12:19:59    4.7   213.0   269.0
2017.08.02 (214) 12:25:23    4.8   213.0   285.0
2017.08.02 (214) 12:30:11    4.8   216.0   275.0
2017.08.02 (214) 12:34:59    4.8   213.0   288.0
2017.08.02 (214) 12:40:23    4.9   212.0   301.0
2017.08.02 (214) 12:45:11    5.0   212.0   295.0
2017.08.02 (214) 12:49:59    5.0   212.0   291.0
2017.08.02 (214) 12:55:23    5.2   210.0   294.0
2017.08.02 (214) 13:00:11    5.1   209.0   304.0
2017.08.02 (214) 13:04:59    5.1   209.0   309.0
2017.08.02 (214) 13:10:23    5.2   207.0   309.0
2017.08.02 (214) 13:15:11    5.4   209.0   300.0
2017.08.02 (214) 13:19:59    5.2   207.0   303.0
2017.08.02 (214) 13:25:23    5.3   204.0   310.0
2017.08.02 (214) 13:30:11    5.3   209.0   313.0
2017.08.02 (214) 13:34:59    5.3   206.0   307.0
2017.08.02 (214) 13:40:23    5.4   209.0   301.0
2017.08.02 (214) 13:45:11    5.5   206.0   298.0
2017.08.02 (214) 13:49:59    5.6   204.0   286.0
2017.08.02 (214) 13:55:23    5.4   200.0   298.0
2017.08.02 (214) 14:00:11    5.4   207.0   291.0
2017.08.02 (214) 14:04:59    5.4   201.0   294.0
2017.08.02 (214) 14:10:23    5.4   204.0   292.0
2017.08.02 (214) 14:15:11    5.3   207.0   292.0
2017.08.02 (214) 14:19:59    5.4   203.0   291.0
2017.08.02 (214) 14:25:23    5.5   200.0   286.0
2017.08.02 (214) 14:30:11    5.5   203.0   285.0
2017.08.02 (214) 14:34:59    5.4   200.0   277.0
2017.08.02 (214) 14:40:23    5.3   207.0   280.0
2017.08.02 (214) 14:45:11    5.2   207.0   280.0
2017.08.02 (214) 14:49:59    5.0   203.0   272.0
