yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.02 (214) 10:49:59    4.5   208.0   231.0
2017.08.02 (214) 10:55:23    4.4   202.0   241.0
2017.08.02 (214) 11:00:11    4.4   193.0   245.0
2017.08.02 (214) 11:04:59    4.5   224.0   247.0
2017.08.02 (214) 11:10:23    4.7   153.0   251.0
2017.08.02 (214) 11:15:11    4.5   158.0   248.0
2017.08.02 (214) 11:19:59    4.8   147.0   256.0
2017.08.02 (214) 11:25:23    4.7   156.0   251.0
2017.08.02 (214) 11:30:11    4.7   149.0   254.0
2017.08.02 (214) 11:34:59    4.8   147.0   262.0
2017.08.02 (214) 11:40:23    4.8   152.0   277.0
2017.08.02 (214) 11:45:11    5.0   190.0   277.0
2017.08.02 (214) 11:49:59    5.1   185.0   265.0
2017.08.02 (214) 11:55:23    5.1   152.0   270.0
2017.08.02 (214) 12:00:11    5.0   196.0   250.0
2017.08.02 (214) 12:04:59    5.0   158.0   268.0
2017.08.02 (214) 12:10:23    5.2   156.0   274.0
2017.08.02 (214) 12:15:11    5.2   161.0   285.0
2017.08.02 (214) 12:19:59    5.2   199.0   286.0
2017.08.02 (214) 12:25:23    5.3   198.0   277.0
2017.08.02 (214) 12:30:11    5.3   204.0   288.0
2017.08.02 (214) 12:34:59    5.5   198.0   286.0
2017.08.02 (214) 12:40:23    5.5   201.0   279.0
2017.08.02 (214) 12:45:11    5.5   204.0   285.0
2017.08.02 (214) 12:49:59    5.6   198.0   270.0
2017.08.02 (214) 12:55:23    5.6   201.0   282.0
2017.08.02 (214) 13:00:11    5.5   199.0   265.0
2017.08.02 (214) 13:04:59    5.6   196.0   265.0
2017.08.02 (214) 13:10:23    5.3   201.0   274.0
2017.08.02 (214) 13:15:11    5.3   198.0   279.0
2017.08.02 (214) 13:19:59    5.3   198.0   290.0
2017.08.02 (214) 13:25:23    5.3   201.0   294.0
2017.08.02 (214) 13:30:11    5.2   193.0   309.0
2017.08.02 (214) 13:34:59    5.3   199.0   314.0
2017.08.02 (214) 13:40:23    5.5   198.0   302.0
2017.08.02 (214) 13:45:11    5.5   199.0   299.0
2017.08.02 (214) 13:49:59    5.4   198.0   297.0
2017.08.02 (214) 13:55:23    5.4   167.0   306.0
2017.08.02 (214) 14:00:11    5.6   193.0   300.0
2017.08.02 (214) 14:04:59    5.6   196.0   294.0
2017.08.02 (214) 14:10:23    5.5   198.0   288.0
2017.08.02 (214) 14:15:11    5.6   192.0   277.0
2017.08.02 (214) 14:19:59    5.3   193.0   283.0
2017.08.02 (214) 14:25:23    5.2   192.0   296.0
2017.08.02 (214) 14:30:11    5.2   189.0   319.0
2017.08.02 (214) 14:34:59    5.1   189.0   317.0
