yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.02 (214) 05:10:23  NaN     NaN     NaN  
2017.08.02 (214) 05:15:11  NaN     NaN     NaN  
2017.08.02 (214) 05:19:59  NaN     NaN     NaN  
2017.08.02 (214) 05:25:23  NaN     NaN     NaN  
2017.08.02 (214) 05:30:11  NaN     NaN     NaN  
2017.08.02 (214) 05:34:59  NaN     NaN     NaN  
2017.08.02 (214) 05:40:23  NaN     NaN     NaN  
2017.08.02 (214) 05:45:11  NaN     NaN     NaN  
2017.08.02 (214) 05:49:59  NaN     NaN     NaN  
2017.08.02 (214) 05:55:23  NaN     NaN     NaN  
2017.08.02 (214) 06:00:11  NaN     NaN     NaN  
2017.08.02 (214) 06:04:59  NaN     NaN     NaN  
2017.08.02 (214) 06:10:23  NaN     NaN     NaN  
2017.08.02 (214) 06:15:11  NaN     NaN     NaN  
2017.08.02 (214) 06:19:59  NaN     NaN     NaN  
2017.08.02 (214) 06:25:23  NaN     NaN     NaN  
2017.08.02 (214) 06:30:11  NaN     NaN     NaN  
2017.08.02 (214) 06:34:59  NaN     NaN     NaN  
2017.08.02 (214) 06:40:23  NaN     NaN     NaN  
2017.08.02 (214) 06:45:11  NaN     NaN     NaN  
2017.08.02 (214) 06:49:59  NaN     NaN     NaN  
2017.08.02 (214) 06:55:23  NaN     NaN     NaN  
2017.08.02 (214) 07:00:11  NaN     NaN     NaN  
2017.08.02 (214) 07:04:59  NaN     NaN     NaN  
2017.08.02 (214) 07:10:23  NaN     NaN     NaN  
2017.08.02 (214) 07:15:11  NaN     NaN     NaN  
2017.08.02 (214) 07:19:59  NaN     NaN     NaN  
2017.08.02 (214) 07:25:23  NaN     NaN     NaN  
2017.08.02 (214) 07:30:11  NaN     NaN     NaN  
2017.08.02 (214) 07:34:59  NaN     NaN     NaN  
2017.08.02 (214) 07:40:23  NaN     NaN     NaN  
2017.08.02 (214) 07:45:11  NaN     NaN     NaN  
2017.08.02 (214) 07:49:59  NaN     NaN     NaN  
2017.08.02 (214) 07:55:23  NaN     NaN     NaN  
2017.08.02 (214) 08:00:11  NaN     NaN     NaN  
2017.08.02 (214) 08:04:59  NaN     NaN     NaN  
2017.08.02 (214) 08:10:23  NaN     NaN     NaN  
2017.08.02 (214) 08:15:11  NaN     NaN     NaN  
2017.08.02 (214) 08:19:59  NaN     NaN     NaN  
2017.08.02 (214) 08:25:23  NaN     NaN     NaN  
2017.08.02 (214) 08:30:11  NaN     NaN     NaN  
2017.08.02 (214) 08:34:59  NaN     NaN     NaN  
2017.08.02 (214) 08:40:23  NaN     NaN     NaN  
2017.08.02 (214) 08:45:11  NaN     NaN     NaN  
2017.08.02 (214) 08:49:59  NaN     NaN     NaN  
2017.08.02 (214) 08:55:23  NaN     NaN     NaN  
2017.08.02 (214) 09:00:11  NaN     NaN     NaN  
2017.08.02 (214) 09:04:59  NaN     NaN     NaN  
2017.08.02 (214) 09:10:23  NaN     NaN     NaN  
2017.08.02 (214) 09:15:11  NaN     NaN     NaN  
2017.08.02 (214) 09:19:59  NaN     NaN     NaN  
2017.08.02 (214) 09:25:23  NaN     NaN     NaN  
2017.08.02 (214) 09:30:11  NaN     NaN     NaN  
2017.08.02 (214) 09:34:59  NaN     NaN     NaN  
2017.08.02 (214) 09:40:23  NaN     NaN     NaN  
2017.08.02 (214) 09:45:11    2.6   236.0   264.0
2017.08.02 (214) 09:49:59    2.9   231.0   250.0
2017.08.02 (214) 09:55:23    3.2   221.0   247.0
2017.08.02 (214) 10:00:11    3.4   224.0   240.0
2017.08.02 (214) 10:04:59    3.7   217.0   236.0
2017.08.02 (214) 10:10:23    3.9   219.0   231.0
2017.08.02 (214) 10:15:11    4.0   214.0   226.0
2017.08.02 (214) 10:19:59    4.0   214.0   231.0
2017.08.02 (214) 10:25:23    4.0   209.0   231.0
2017.08.02 (214) 10:30:11    4.2   219.0   243.0
2017.08.02 (214) 10:34:59    4.3   219.0   243.0
2017.08.02 (214) 10:40:23    4.5   214.0   240.0
2017.08.02 (214) 10:45:11    4.5   217.0   245.0
2017.08.02 (214) 10:49:59    4.5   207.0   236.0
2017.08.02 (214) 10:55:23    4.5   217.0   243.0
2017.08.02 (214) 11:00:11    4.5   224.0   252.0
2017.08.02 (214) 11:04:59    4.5   219.0   252.0
2017.08.02 (214) 11:10:23    4.5   231.0   245.0
2017.08.02 (214) 11:15:11    4.5   228.0   259.0
2017.08.02 (214) 11:19:59    4.5   226.0   252.0
2017.08.02 (214) 11:25:23    4.6   221.0   245.0
2017.08.02 (214) 11:30:11    4.7   212.0   259.0
2017.08.02 (214) 11:34:59    4.7   217.0   276.0
2017.08.02 (214) 11:40:23    4.7   212.0   281.0
2017.08.02 (214) 11:45:11    4.9   209.0   281.0
2017.08.02 (214) 11:49:59    5.1   205.0   276.0
2017.08.02 (214) 11:55:23    5.1   207.0   288.0
2017.08.02 (214) 12:00:11    5.1   202.0   271.0
2017.08.02 (214) 12:04:59    4.9   209.0   276.0
2017.08.02 (214) 12:10:23    5.1   212.0   283.0
2017.08.02 (214) 12:15:11    5.1   209.0   302.0
2017.08.02 (214) 12:19:59    5.2   191.0   293.0
2017.08.02 (214) 12:25:23    5.3   202.0   304.0
2017.08.02 (214) 12:30:11    5.4   200.0   297.0
2017.08.02 (214) 12:34:59    5.5   198.0   297.0
2017.08.02 (214) 12:40:23    5.4   202.0   321.0
2017.08.02 (214) 12:45:11    5.4   205.0   297.0
2017.08.02 (214) 12:49:59    5.6   209.0   281.0
2017.08.02 (214) 12:55:23    5.6   205.0   281.0
2017.08.02 (214) 13:00:11    5.6   202.0   285.0
2017.08.02 (214) 13:04:59    5.6   200.0   276.0
2017.08.02 (214) 13:10:23    5.4   207.0   283.0
2017.08.02 (214) 13:15:11    5.3   205.0   297.0
2017.08.02 (214) 13:19:59    5.3   200.0   295.0
2017.08.02 (214) 13:25:23    5.3   205.0   302.0
2017.08.02 (214) 13:30:11    5.3   207.0   304.0
2017.08.02 (214) 13:34:59    5.3   195.0   307.0
2017.08.02 (214) 13:40:23    5.5   198.0   331.0
2017.08.02 (214) 13:45:11    5.5   202.0   295.0
2017.08.02 (214) 13:49:59    5.4   198.0   331.0
2017.08.02 (214) 13:55:23    5.4   198.0   321.0
2017.08.02 (214) 14:00:11    5.5   202.0   312.0
2017.08.02 (214) 14:04:59    5.5   198.0   309.0
2017.08.02 (214) 14:10:23    5.5   198.0   307.0
2017.08.02 (214) 14:15:11    5.6   198.0   297.0
2017.08.02 (214) 14:19:59    5.3   193.0   281.0
2017.08.02 (214) 14:25:23    5.3   198.0   297.0
2017.08.02 (214) 14:30:11    5.1   195.0   307.0
2017.08.02 (214) 14:34:59    5.1   193.0   333.0
2017.08.02 (214) 14:40:23    4.7   191.0   243.0
2017.08.02 (214) 14:45:11    5.1   188.0   326.0
2017.08.02 (214) 14:49:59    5.1   188.0   226.0
2017.08.02 (214) 14:55:23    5.2   186.0   224.0
2017.08.02 (214) 15:00:11    5.1   198.0   219.0
2017.08.02 (214) 15:04:59    5.2   186.0   219.0
